Coefficients order=180 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   25   17        1.7645668819        0.2480233107
   25   18        2.9030613052       -1.0891241338
   25   19        1.3866945559        0.9537427541
   25   20        2.7588541525        1.2837600842
   25   21       -0.6018454960        1.2291943422
   25   22        0.2223495711        3.1873687479
   25   23       -0.3494092094        2.0521468733
   25   24       -1.5222306925        1.2478935550
   25   25        0.7164532896        1.8241455152
   26    0        1.6878909862        0.0000000000
   26    1       -0.0874005877       -0.7644383402
   26    2        1.2548251081        1.0763660885
   26    3        0.3993916338       -0.1119297551
   26    4       -0.2551583039        2.0827022580
   26    5        0.8005353122       -0.7303662202
   26    6       -1.2083091501        1.0309997265
   26    7        0.2475673659        0.2789327272
   26    8       -1.1527378537       -0.9379671608
   26    9       -0.3192352129        0.6625767846
   26   10       -0.3214382595       -1.7338431577
   26   11       -0.5923867349        0.0606181692
   26   12        2.0785738925       -1.3003166797
   26   13       -0.3020912792       -0.1851522125
   26   14        1.7899811028        0.8479980203
   26   15        0.8335402671       -0.1173188620
   26   16        0.3911666901        1.9145142829
   26   17        1.1164819544        0.2916308764
   26   18       -0.8553841777        1.0892112850
   26   19       -0.7288239142        2.5928012351
   26   20       -1.5339660373       -0.5102560360
   26   21       -2.3524047435        2.8074101955
   26   22       -1.0752004754       -0.6983488087
   26   23       -2.5564078029       -0.4992425305
   26   24       -1.6879515019       -1.6370601516
   26   25       -0.8292910996       -2.5673738111
   26   26       -3.0149334458       -0.8494160306
   27    0       -0.0593611515        0.0000000000
   27    1       -1.0266204162        1.3106388788
   27    2        0.1896774521        0.0205428008
   27    3       -1.9230788440        0.8759472057
   27    4        0.7091336301       -0.4531859607
   27    5       -1.2335765035       -0.8117467336
   27    6        0.8476181015        0.8080871019
   27    7        0.1049564473       -2.0411029886
   27    8        0.0042387818        0.5011564533
   27    9        1.4137339158       -0.6429398528
   27   10       -0.0621544478       -0.3349887779
   27   11        1.8687145876        0.9078511040
   27   12       -0.0242445206       -0.5770693844
   27   13        0.9768331626        2.6116150643
   27   14        0.6535012004       -0.0942753983
   27   15       -1.3880268342        1.1872690933
   27   16        0.0663581273        0.9281302635
   27   17       -3.0240297823       -0.6590400472
   27   18       -1.7037916831        0.8156997204
   27   19       -1.5427752510       -1.6837789031
   27   20       -2.2733862550       -1.2413248369
   27   21        0.8149528163       -1.2664658829
   27   22       -0.5017444516       -2.7764048704
   27   23        2.0938502878       -1.1548992438
   27   24        0.5587576481       -2.5646652503
   27   25        1.3744396348       -0.9673556596
   27   26        1.3876804214       -0.0595978596
   27   27        0.6918923434       -0.6328218058
   28    0       -1.2061491627        0.0000000000
   28    1        0.2332624971        0.8602159899
   28    2       -0.8874815819       -1.1304718082
   28    3        0.3616554184        0.8303302749
   28    4       -0.0598871867       -1.8237293938
   28    5        0.0316783397        0.6714241205
   28    6        1.4504233210       -1.1548097365
   28    7       -0.5673255651        0.7937660608
   28    8        0.7518964898        0.6785298706
   28    9        0.1333756945        0.0578131761
   28   10       -0.2706629388        2.0001188474
   28   11        0.6984797355       -0.1787999274
   28   12       -1.5720659820        0.9433011224
   28   13        0.7937622465       -0.2574083960
   28   14       -1.7586467529       -0.4165669367
   28   15        0.2646253258        0.0261882609
   28   16       -0.6930240657       -1.9538347675
   28   17       -0.8272894247        0.3356951863
   28   18        0.6937451363       -1.3978092694
   28   19       -0.0482379038       -0.9001770437
   28   20        1.9436538700        0.1879644120
   28   21        1.7776269310       -1.3002650662
   28   22        1.4494011246        1.3880306830
   28   23        2.5386161428       -0.1546481848
   28   24        0.3594810794        1.8267523094
   28   25        1.0653121640        1.5357780266
   28   26       -0.1475144156        1.3049988586
   28   27       -0.5974976804        3.2593088425
   28   28        0.9429069939        1.2711126371
   29    0        0.1447933027        0.0000000000
   29    1        1.2030793137       -1.5406682231
   29    2       -0.4767303844        0.6271219123
   29    3        1.4127696460       -0.8951689409
   29    4       -0.7222555974       -0.1374915360
   29    5        1.0044649102        0.4591577077
   29    6       -0.3517853175       -0.0321928617
   29    7        0.0854401310        1.9065401574
   29    8       -0.5742046588       -0.5511265628
   29    9       -1.4598182609        0.8551111911
   29   10        0.4791412597       -0.7170469695
   29   11       -1.9660311365       -0.6760417369
   29   12        0.1662313210        0.2875757866
   29   13       -0.5164433240       -2.2931599180
   29   14       -0.8125406928        0.6168034517
   29   15        1.3175847653       -2.1567544187
   29   16        0.3150944677        0.1603493160
   29   17        2.9483595057        0.6173924324
   29   18        0.7355226364       -0.3514970223
   29   19        1.7913807725        2.2844195569
   29   20        0.7826309910        0.6956896221
   29   21       -0.9590093385        2.0924111966
   29   22        0.0063944566        1.4849840618
   29   23       -2.2906189747        0.7667095420
   29   24       -1.0711159166        2.9002217726
   29   25       -2.2133199533       -0.6528607729
   29   26       -1.6550768723        0.4601779595
   29   27       -1.0616456430       -1.1792530083
   29   28       -1.4085553964       -1.1882093640
   29   29       -1.0567264646        0.3435121509
   30    0        0.4184080210        0.0000000000
   30    1       -0.2503083613       -0.2367942981
   30    2        1.1739220061        0.7376043385
   30    3       -0.0199950368       -1.1312392427
   30    4       -0.0651691037        1.3897750983
   30    5        0.0902110705       -1.2092986686
   30    6       -0.8719628210        0.2262989159
   30    7        0.8498779710       -0.4653608109
   30    8       -1.3991480457       -0.3836739372
   30    9        1.3565926124        0.3125728524
   30   10       -0.8859371338       -1.7427624296
   30   11        0.7219298570        1.1970208515
   30   12        1.6762370059       -1.1597591691
   30   13       -1.0042414312        0.3769060092
   30   14        2.0717056523        0.3079503572
   30   15       -0.5518099382        0.1924615612
   30   16        1.6153264562        1.8549100959
   30   17        0.0258999367       -1.0512007800
   30   18       -0.8127508530        1.9493539510
   30   19        0.5560020265        0.3636911373
   30   20       -2.2952409033        0.5266232389
   30   21       -0.6894964749        0.8184393716
   30   22       -1.6355775097       -1.4815118570
   30   23       -1.2610344856       -0.0705575644
   30   24        0.1774392254       -2.1279002642
   30   25       -1.3186137210       -1.6400995901
   30   26        1.9496436111       -1.5086573359
   30   27        0.5764651131       -2.4809537740
   30   28        1.3375786962        0.4546658093
   30   29        1.5561303046       -1.1637378901
   30   30        0.7606190526       -0.5893534253
   31    0       -0.0113093917        0.0000000000
   31    1       -0.4262320317        0.6040069425
   31    2       -0.5044356275       -0.5585267029
   31    3       -0.9248161504        0.7946735129
   31    4        1.1168893182       -0.1030284443
   31    5       -0.4740655343       -0.4684638797
   31    6        1.4847380180        1.1486850986
   31    7        0.4850023508       -1.4076334443
   31    8        0.4265420535        1.5329824235
   31    9        0.6637697141       -1.0061208840
   31   10       -0.6771867365        1.2528428829
   31   11        2.0865848028        0.5398419894
   31   12       -1.2491079618        0.0618801085
   31   13        0.9259201953        2.3969611590
   31   14       -0.0407620608       -1.0014530497
   31   15       -0.9806006705        2.0840904316
   31   16        0.1980828208       -1.2098483989
   31   17       -1.9096350996       -0.4135339922
   31   18        0.3805037160       -0.4102870388
   31   19       -1.7725073073       -1.7514906410
   31   20        0.1870393625       -0.0462478552
   31   21        0.3841862166       -1.6994364222
   31   22       -0.2459089841       -0.6716155243
   31   23        2.2172604108        0.1311598774
   31   24        1.7635744464       -1.6257546617
   31   25        2.3054369440        1.5859641601
   31   26        1.6082277895       -0.6684597886
   31   27        0.9968636226        2.3001483082
   31   28        1.4913965024        2.0987116871
   31   29       -1.1621853033        0.8288397672
   31   30        0.5554809120        2.3120982983
   31   31        0.7861329296       -0.9619491569
   32    0       -0.2382579267        0.0000000000
   32    1       -0.0819643293        0.1228040619
   32    2       -0.0756625561       -0.2821743312
   32    3        0.6370732983        0.9786926128
   32    4        0.0387864542       -0.3956195019
   32    5       -0.3952314860        1.1849027714
   32    6        0.5823543095       -0.0958770889
   32    7       -1.3919179005        1.1557816623
   32    8        1.1857046262        0.3940754681
   32    9       -0.8336295108       -0.2131895499
   32   10        0.4400668971        1.2315194227
   32   11       -0.5011251735       -0.7265007802
   32   12       -0.7127261038        1.0291240010
   32   13        0.4533790219       -1.1850742948
   32   14       -1.6804089200       -0.5354645740
   32   15        1.4931863913        0.0292242504
   32   16       -1.7388454002       -1.2483575890
   32   17        0.5653457468        1.0154486036
   32   18        0.6650238122       -1.5233216165
   32   19       -0.1108701865        0.6584761801
   32   20        2.2045856722       -0.4229645121
   32   21        0.4238309750        0.6753132357
   32   22        1.9377981589        1.2993132160
   32   23        0.1359186731        0.1640654653
   32   24       -0.3409833098        2.1495552356
   32   25        0.3337342845        1.8273757867
   32   26       -2.6247417145        1.1022038064
   32   27       -0.2611614992        1.6638227893
   32   28       -2.5249443001       -0.7214349935
   32   29       -2.2954529017        0.3656151385
   32   30       -0.7941361894       -2.1879185071
   32   31       -1.5369187772       -1.3529273975
   32   32       -0.4816790002       -0.1955265493
   33    0        1.0847296870        0.0000000000
   33    1        0.5308197522       -0.0465041687
   33    2       -0.0470207430        0.6044589259
   33    3        0.6222882751        0.2017966073
   33    4       -0.6500036065        0.2469987416
   33    5        0.5675019114        1.3264724021
   33    6       -1.2707980401       -0.6692171381
   33    7       -0.0888641366        0.7255038416
   33    8       -0.9077863839       -1.3472520500
   33    9       -0.7901490062        0.9820081122
   33   10        1.0460839776       -1.3109990229
   33   11       -1.4301204516        0.4347938246
   33   12        1.2757626184       -0.2947572997
   33   13       -0.1863222150       -1.1922283073
   33   14        0.6572434064        0.5537515312
   33   15        0.8186734956       -1.4236759647
   33   16       -0.6621013714        1.8658326448
   33   17        2.3946578951       -0.1402394204
   33   18       -1.5453722068        0.1142170880
   33   19        1.0898719866        1.5649999197
   33   20       -0.8612392873       -0.7015651694
   33   21       -0.1548397224        1.5884565041
   33   22       -0.4163142824       -0.2997003975
   33   23       -1.9538670513        0.4529125054
   33   24       -0.6884257689        0.6368603642
   33   25       -1.6369721601       -1.6157240631
   33   26       -1.4286466945       -0.0067093060
   33   27        0.0094995166       -2.6894577381
   33   28       -1.2723065617       -1.1903016493
   33   29        2.0336987053       -1.4926529485
   33   30        0.0260713853       -2.6841311673
   33   31        2.6515703005        0.5516947354
   33   32        1.2148655704       -1.5289782336
   33   33       -0.2702124196        0.1681904003
   34    0       -1.0681882263        0.0000000000
   34    1       -0.3494246291        1.0580574949
   34    2       -0.0738207478       -0.3945375096
   34    3       -0.4242667992       -0.3024178023
   34    4       -0.1579503312        0.7787010856
   34    5       -0.6951195313       -0.9688128424
   34    6       -0.4740007645        0.7534244844
   34    7        0.7469772193       -0.1640923175
   34    8       -0.8607608885       -0.3411212423
   34    9        1.6040138385        0.3799925392
   34   10       -1.1645288321       -1.3414514858
   34   11        0.8630122090        0.7875465988
   34   12        0.4801147739       -0.8452780707
   34   13       -0.6254070051        0.6988433458
   34   14        0.8967278410        0.0918776019
   34   15       -1.0818447416       -0.0736818607
   34   16        0.8525818860        1.4115442681
   34   17       -1.3448419123       -0.8907112717
   34   18       -0.5647148323        1.2742241956
   34   19        0.3639322437       -1.7277659411
   34   20       -2.3398903269        0.3505778045
   34   21        1.1100694316       -1.1269124839
   34   22       -1.8244734086       -1.2105016033
   34   23        0.5030325989        0.1308423307
   34   24        0.7149550543       -2.0145979301
   34   25        0.4381791343       -0.7845143317
   34   26        2.7020600404       -0.3334999198
   34   27        0.7962944396       -1.2801972635
   34   28        2.8704482889        0.5721548172
   34   29        1.2504362223       -0.6826513048
   34   30        1.0158153426        1.7914614800
   34   31        2.1065407403        1.6993231095
   34   32       -1.4760100132        1.2685610280
   34   33        0.8265071000        2.3957008476
   34   34       -0.0779357950       -0.9976841921
   35    0        0.2260073836        0.0000000000
   35    1        0.2003789088       -0.1232756412
   35    2       -0.6900248341       -0.6544167391
   35    3        0.6250248502        0.3030740197
   35    4        0.8718468102       -0.4146535293
   35    5        0.4696807495       -0.1733673784
   35    6        0.8624031568        0.1775130752
   35    7       -0.1019196331        0.2413856677
   35    8       -0.1379866757        1.1376251664
   35    9       -0.1820667655       -1.5853227365
   35   10       -0.6347948181        0.9195244607
   35   11        0.5439397989       -0.3541246024
   35   12       -1.7219662462        0.1622582837
   35   13        1.3347259140        0.5471134031
   35   14       -1.2697910254       -1.3494188123
   35   15       -0.0216792858        0.5832413349
   35   16        0.7952508004       -1.9459943999
   35   17       -1.0775126756        0.1490384618
   35   18        1.6995530085       -1.0708268082
   35   19       -0.8181028155       -1.3037600312
   35   20        1.4261673098        1.2411691455
   35   21        0.3655648159       -1.6617969498
   35   22        0.7663199830        1.1980806952
   35   23        1.6317377628       -0.6447953178
   35   24       -0.2482453923        0.6011941408
   35   25        1.6614560060        0.9640735061
   35   26        0.3407466925        0.6666053630
   35   27       -0.7988921179        2.0817940470
